text,cluster
" Ottawa Says Time to Stop Protecting Air Canada

 The Canadian government, in a radical shift, said on Friday it was time to stop protecting national carrier Air Canada as it mulled whether to lift foreign ownership restrictions on the country #39;s airlines.",2
" Wall Street Faces 2 Elections, Not Just 1 (Reuters)

 Reuters - The waiting game for the U.S.\presidential election ends two weeks from Tuesday -- but then\investors can turn over the timer and start again.",2
" White House Rejects Trade Case Vs. China (AP)

 AP - The Bush administration on Friday rejected a request from 30 members of Congress that it bring a World Trade Organization case against China charging the Asian nation with manipulating its currency to gain unfair trade advantages against the United States.",2
" BA launches inquiry

 The chief executive of British Airways, Rod Eddington, says he will carry out an investigation into the staff shortages that caused flight cancellations this week.",2
" Technology ; Fans Throng for First Crack at New Game  #39;Halo 2 #39;

 Technology News, LOS ANGELES - It takes a special kind of person to stay up all night and stand in a line nearly 250 people long just to buy a video game -- but for rabid fans of the first  quot;Halo quot; on the Xbox video game console, it was well worth the wait ",2
" UPDATE 2-Blockbuster cuts online price, challenges Netflix

 Video chain Blockbuster Inc (BBI.N: Quote, Profile, Research) on Friday said it would lower the price of its online DVD rentals to undercut a similar move by Netflix Inc.",2
" Learning to Search for Life on Mars with the Atacama Rover

 Ames Research Center -- A dedicated team of scientists is spending the next four weeks in northern Chile's Atacama Desert. They are studying the scarce life that exists there and, in the process, helping NASA learn more about how primitive life forms could exist on Mars...",0
" Spotlight shines on quarterbacks

 They couldn't be more different. One is the prototype quarterback, seemingly built using the create-a-player function from a video game, standing tall in the pocket and firing laser beams across the field.",1
" BBC reporters' log

 BBC correspondents record events in the Middle East and their thoughts as the funeral of the Palestinian leader Yasser Arafat takes place.",0
" PeopleSoft Denies Execs Visited Oracle (Reuters)

 Reuters - PeopleSoft Inc.  on Tuesday\denied an analyst report that its executives recently met with\Oracle Corp. , the rival software vendor that last year\launched a hostile bid for PeopleSoft.",2
" Employers Add 112,000 New Jobs in Nov.

 Employers slowed their hiring as they headed into the holiday shopping season, adding just 112,000 new jobs in November for the weakest gain in five months.",2
" Yankees Seek to Keep Pitcher Jon Lieber (AP)

 AP - After watching their starting pitchers struggle for much of the season, the New York Yankees would like to bring Jon Lieber back for 2005.",1
" Nebraska holds on for victory

 Nebraska capitalized on four Pittsburgh turnovers and batted down a pass in the end zone on the game's final play yesterday to preserve a 24-17 win in the first meeting of the teams since 1958.",1
" Rebels return to 'cleared' areas

 In Fallujah, US forces are going through 50,000 houses one by one. But insurgents are coming back.",0
" Yukos executives 'flee' Russia

 All the top executives at Russian oil giant Yukos have fled the country in fear of arrest as the government seeks to sell off its main asset.",0
" At least 90 dead, 77 missing in China rainstorms

 BEIJING : At least 90 people were killed and 77 were missing in torrential storms lashing southwest China, disaster relief officials said.",0
